source,name,desc,url,provider,type
KADX 농식품 공공데이터,이력농림사업이행관련정보,"농림축산식품부에서 제공하는 이력농림사업이행관련정보로 이행점검기관정보,이행점검교육,지급기준,진행차수,지급일련번호,이력일련번호,사업연도,법인신청수량,개인신청수량,법인지급최대면적,개인지급최대면적등의 정보를 제공합니다.",https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20251114000000002895,농림수산식품교육문화정보원,OpenAPI product
KADX 농식품 공공데이터,이력귀농창업주택구입관리교육정보,"농림축산식품부에서 제공하는 이력귀농창업주택구입관리교육정보로 선전년도,관리일련번호,교육일련번호,이력일련번호,실시기관명,시작일자,종료일자,내역등의 정보를 제공합니다.",https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20251114000000002894,농림수산식품교육문화정보원,OpenAPI product
KADX 농식품 공공데이터,이력_지원사업_신청_친환경축산_구성원,"농림축산식품부에서 제공하는 지원사업 신청정보에 대한 데이터로 사업연도, 사업명 등의 통계 정보를 제공합니다",https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20251114000000002893,농림수산식품교육문화정보원,OpenAPI product
KADX 농식품 공공데이터,이력 판매촉진 공급 상세,농림축산식품부 판매 촉진 관련 정보로 에 대한 데이터로 공급정보를 포함하고 있습니다,https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20251114000000002892,농림수산식품교육문화정보원,OpenAPI product
KADX 농식품 공공데이터,이력 지원사업 신청 후계농 농업기계 등록,농림축산식품부 지원사업 신청 정보로 후계농 농업기계 등록 정보를 나타냅니다,https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20251114000000002891,농림수산식품교육문화정보원,OpenAPI product
KADX 농식품 공공데이터,이력 지원사업 신청 정보,"농림축산식품부 지원사업 신청정보로서 사업연도, 농림사업, 일련번호, 등록일을 제공합니다",https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20251114000000002890,농림수산식품교육문화정보원,OpenAPI product
KADX 농식품 공공데이터,유통내역조사대상 및 품목정보,"농림축산식품부에서는 유통내역조사대상 및 품목정보를 제공합니다. 본 정보 제공 데이터는 조사년도, 경영체순번, 대상농가여부, 패널구분, 유통품목구분, 유통품목, 판매금액, 판매처1비율, 판매처2비율등의 정보를 포함하고 있습니다.",https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20251114000000002889,농림수산식품교육문화정보원,OpenAPI product
KADX 농식품 공공데이터,유기질비료지원사업_신청일정,"농림축산식품부에서 제공하는 유기질비료지원사업 신청일정 정보에 대한 데이터로 사업연도, 사업명, 신청일자 등의 통계 정보를 제공합니다.",https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20251114000000002888,농림수산식품교육문화정보원,OpenAPI product
KADX 농식품 공공데이터,유기질비료지원_신청_현황정보,"농림축산식품부에서는 법인조합원등기이사명세정보를 제공합니다. 본 정보 제공 데이터는 경영체일련번호, 경영체명, 설립년도, 법인형태구분, 마을법인여부, 내외국인구분등의 정보를 포함하고 있습니다.",https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20251114000000002887,농림수산식품교육문화정보원,OpenAPI product
KADX 농식품 공공데이터,유기질비료지원_신청_상세,"농림축산식품부에서 제공하는 유기질비료지원 신청상세 정보에 대한 데이터로 공부상면적, 신청면적 등의 통계 정보를 제공합니다",https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20251114000000002886,농림수산식품교육문화정보원,OpenAPI product
KADX 농식품 공공데이터,주산지_작목코드 정보,"농림축산식품부에서 제공하는 주산지 작목코드 정보에 대한 데이터로 작목중분류코드, 작목중분류명, 작목세분류코드, 작목세분류명 등에 정보를 제공",https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20251114000000002916,농림수산식품교육문화정보원,OpenAPI product
KADX 농식품 공공데이터,지원사업 신청농지 피해보전 축산 개체,"농림축산식품부에서 제공하는 신청농지 피해보전 축산 개체정보로서 축종, 암수구분, 사육일자, 종료일자 등의 정보를 제공하고 있습니다",https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20251114000000002924,농림수산식품교육문화정보원,OpenAPI product
